Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
156,2025,06/05/2025,Encaminhado,Bruno Herreira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de garantir o funcionamento das unidades de educação infantil (CEIs) durante os períodos de recesso escolar, como nas férias de julho e janeiro, por meio da contratação de servidores que possam atender às crianças...",Indicação nº 156/2025
155,2025,06/05/2025,Encaminhado,"Anderson Marcos Viana (Autor), Adriano de Marcos Lopes (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que reavalie a proposta de manter a Farmácia Municipal em funcionamento durante os pontos facultativos, considerando os impactos operacionais e estruturais da medida. Atualmente, os medicamentos mais comuns prescritos em atendimentos de urgência — como dipirona e nimesulida — já...",Indicação nº 155/2025
154,2025,06/05/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instalar uma academia ao ar livre próxima ao playground localizado na área verde do Bairro Campo Bello, no cruzamento da Rua das Palmeiras com a Alameda Campos Elísios. Além disso, solicita-se a melhoria da...",Indicação nº 154/2025
153,2025,30/04/2025,Encaminhado,"Anderson Marcos Viana (Autor), Adriano de Marcos Lopes (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implantar um programa de concessão de vale-alimentação aos pacientes do sistema de saúde municipal que necessitam realizar consultas, exames ou tratamentos fora do município. A sugestão se baseia em...",Indicação nº 153/2025
152,2025,30/04/2025,Encaminhado,"Reinaldo Codognato (Autor), Bruno Herreira (Autor), Edvaldo Aparecido Carvalho (Autor), Elizeu Adriano (Autor), Renato Vieira de Brito (Autor), Samir Edson Tino (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de lançar um programa denominado Colmeia Empreendedora, inspirado na ""Colmeia"" como exemplo de inovação e empreendedorismo social para promover uma economia mais sustentável. Nosso foco é potencializar o...",Indicação nº 152/2025
151,2025,23/04/2025,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de garantir que os professores e demais profissionais da educação tenham acesso à alimentação oferecida aos alunos durante o período letivo, especialmente nas escolas e Centros de Educação Infantil (CEIs) da rede...",Indicação nº 151/2025
150,2025,23/04/2025,Encaminhado,"Reinaldo Codognato (Autor), Bruno Herreira (Autor), Edvaldo Aparecido Carvalho (Autor), Elizeu Adriano (Autor), Renato Vieira de Brito (Autor), Samir Edson Tino (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de impermeabilização das estradas rurais do nosso município. A utilização de asfalto ecológico, que impermeabiliza as vias, garante estradas sem barro e poeira, reduzindo significativamente a necessidade de...",Indicação nº 150/2025
149,2025,23/04/2025,Encaminhado,"Reinaldo Codognato (Autor), Elizeu Adriano (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instalar um poço artesiano no Bairro Vila São João, com o objetivo de atender a demanda por abastecimento de água dos moradores locais. Segundo informações de moradores, há dois poços artesianos desativados...",Indicação nº 149/2025
148,2025,22/04/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implantar semáforos inteligentes em pontos estratégicos da cidade, substituindo os modelos antigos por equipamentos modernos que otimizem o fluxo de veículos e aumentem a segurança no trânsito. Sugere-se...",Indicação nº 148/2025
147,2025,22/04/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, complementando a indicação nº 092/2025, de autoria do Vereador Reinaldo Codognato, que estude junto ao setor competente da administração, as possibilidades de instituir programas de isenção ou redução de tributos municipais para famílias em situação de vulnerabilidade social. A...",Indicação nº 147/2025
146,2025,17/04/2025,Encaminhado,Renato Vieira de Brito (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de incluir, na grade de atividades dos Centros de Educação Infantil (CEIs) do município, aulas de música e canto. A iniciativa contribui significativamente para o desenvolvimento cognitivo, emocional e social das...",Indicação nº 146/2025
145,2025,17/04/2025,Encaminhado,Renato Vieira de Brito (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar a reforma e pintura do prédio da Divisão Municipal de Educação de Junqueirópolis. A medida visa garantir melhores condições de trabalho aos servidores, além de proporcionar um ambiente mais acolhedor e...",Indicação nº 145/2025
144,2025,16/04/2025,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implementar redutores de velocidade ao longo da Avenida Junqueira, no trecho compreendido após a Rua Manaus, ponto até onde os redutores foram instalados. Trata-se de uma via com grande fluxo de veículos e...",Indicação nº 144/2025
143,2025,16/04/2025,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implantar galerias de águas pluviais e bocas de lobo no Bairro Carmesim, considerando que o bairro atualmente não conta com sistema adequado de captação e direcionamento da água das chuvas. A ausência dessa...",Indicação nº 143/2025
142,2025,16/04/2025,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar a aplicação do serviço de fumacê em toda a cidade, diante do aumento expressivo de casos de dengue e da grande presença de pernilongos. A medida visa contribuir para o controle dos vetores, protegendo a...",Indicação nº 142/2025
141,2025,14/04/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instituir um Programa de Parcelamento dos Tributos Municipais vencidos. A iniciativa permitirá que contribuintes em débito regularizem sua situação fiscal com maior facilidade, favorecendo o aumento da...",Indicação nº 141/2025
140,2025,14/04/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de dar continuidade e concluir a execução do Projeto Melhor Caminho na estrada do Bairro 2ª Seção. A conclusão das obras é essencial para garantir mais segurança, durabilidade e acessibilidade à via,...",Indicação nº 140/2025
