Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
158,2022,30/11/2022,Encaminhado,Valdir Aparecido de Oliveira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implementar a devida iluminação na área verde do Bairro Carmesim 2. Tal indicação se justifica em razão do referido local estar muito escuro, facilitando assim o uso indevido da área para atividades nocivas ao...",Indicação nº 158/2022
157,2022,30/11/2022,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de estar instalando no Bairro Villa São João guias de sarjeta delimitando assim o perímetro de casas e estradas localizadas no denominado centro do Bairro. Tal indicação se justifica em razão dos inúmeros pedidos...",Indicação nº 157/2022
156,2022,30/11/2022,Encaminhado,"Teresinha de Lourdes Freitas Regodanso (Autor), Elio Furini Neto (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de revitalizar a praça Sebastião Claro, localizada na esquina da Rua Porto Alegre e da Avenida Paulista. Tal indicação se justifica em razão do mau estado que se encontra o local, necessitando de uma limpeza geral...",Indicação nº 156/2022
155,2022,30/11/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de estar podando as árvores, eliminando os formigueiros e adequando os bancos e a iluminação pública da Rua Piauí, no Bairro Colina Verde. Tal indicação se justifica em razão dos pedidos feitos por parte da...",Indicação nº 155/2022
154,2022,29/11/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, reforçando a indicação n. 145/2021, de autoria do Vereador Anderson Marcos Viana, que estude junto ao setor competente da administração, as possibilidades de colocar os braços de luz que ainda faltam nos postes do Residencial das Américas. Tal indicação se justifica em razão das várias...",Indicação nº 154/2022
153,2022,29/11/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de reformar os aros das tabelas de basquete presentes nas quadras do Sistema de Lazer do Bairro Jardim Esperança e do Sistema de Lazer do Bairro Jardim Alvorada. Tal indicação se justifica em razão do péssimo...",Indicação nº 153/2022
152,2022,29/11/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir uma escadaria de acesso com corrimão da Rua São Salvador até o Salão Comunitário do Jardim Alvorada. Tal indicação se justifica em razão do referido local se tornar de difícil acesso principalmente aos...",Indicação nº 152/2022
151,2022,24/11/2022,Encaminhado,"Rui Domingos da Silva (Autor), Reinaldo Codognato (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar uma revisão geral em todos os parques, praças e playgrounds do município. Tal indicação se justifica em razão dos benefícios que as reformas trarão para toda a família, que pode aproveitar com segurança...",Indicação nº 151/2022
150,2022,23/11/2022,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, reforçando a indicação n. 162/2021, de autoria do Vereador Reinaldo Codognato, que estude junto ao setor competente da administração, as possibilidades de intermediar junto à direção da Companhia Ferroviária RUMO Logística e utilizando as ferramentas da Fundação Instituto de Terras do...",Indicação nº 150/2022
149,2022,23/11/2022,Encaminhado,"Reinaldo Codognato (Autor), Marisa Alves da Silva Costa (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implantar uma carteira funcional para os servidores municipais. Tal indicação se justifica em razão da facilidade que será empregada na identificação e na comprovação de vínculo desses servidores, além de...",Indicação nº 149/2022
